area	type	category	lat	lon
melchiorre	commerciale	distributore automatico	45.4906877	9.1987729
melchiorre	commerciale	bar	45.4894381	9.200569
melchiorre	commerciale	casella della posta	45.4899757	9.2008645
isola	commerciale	parcheggio	45.4832137	9.1940846
isola	commerciale	fermata bus tram	45.4800462	9.1922078
isola	commerciale	distributore automatico	45.4835959	9.1950784
isola	commerciale	fermata bus tram	45.4797721	9.1950113
isola	commerciale	taxi	45.4840897	9.1962556
isola	commerciale	ristorante	45.4856008	9.1914383
isola	commerciale	farmacia	45.4806429	9.1889643
isola	commerciale	ristorante	45.4812016	9.1915463
isola	commerciale	taxi	45.4828245	9.1898379
isola	commerciale	fermata bus tram	45.4816674	9.1918869
isola	commerciale	fermata bus tram	45.4820807	9.1919672
isola	commerciale	bar	45.483028	9.194915
isola	commerciale	parcheggio	45.4803273	9.1950955
isola	commerciale	ristorante	45.4801179	9.195113
isola	commerciale	bar	45.4856213	9.1915986
isola	commerciale	gelataio	45.483016	9.1911647
isola	commerciale	fermata bus tram	45.4799229	9.1930662
isola	commerciale	acqua potabile	45.4855777	9.192877
isola	commerciale	fermata bus tram	45.4796633	9.1942847
isola	commerciale	fermata bus tram	45.4802409	9.1928139
isola	commerciale	fermata bus tram	45.4803095	9.1925463
isola	commerciale	fermata bus tram	45.4807223	9.1900456
isola	commerciale	fermata bus tram	45.4807963	9.1890703
isola	commerciale	panchina	45.4826511	9.1911109
isola	commerciale	panchina	45.4826603	9.1910646
isola	commerciale	panchina	45.4826881	9.191025
isola	commerciale	club	45.4823018	9.1897389
isola	commerciale	bar	45.4819975	9.1897703
isola	commerciale	parcheggio	45.4827927	9.1912279
isola	commerciale	ristorante	45.4811442	9.188507
isola	commerciale	bar	45.4816459	9.1886205
isola	commerciale	parcheggio	45.4816655	9.1891998
isola	commerciale	acqua potabile	45.4803853	9.1903642
isola	commerciale	parcheggio	45.4808472	9.1880963
isola	commerciale	ristorante	45.4806695	9.1887328
isola	commerciale	pub	45.4809224	9.1887328
isola	commerciale	bar	45.4813508	9.1898898
isola	commerciale	club	45.4808816	9.18955
isola	commerciale	ristorante	45.4809079	9.1889601
isola	commerciale	panchina	45.4822148	9.193256
isola	commerciale	panchina	45.482471	9.1930521
isola	commerciale	ristorante	45.4807705	9.1926856
isola	commerciale	ristorante	45.4810239	9.1927387
isola	commerciale	panchina	45.4821605	9.193203
isola	commerciale	panchina	45.4825111	9.1930933
isola	commerciale	bar	45.4807066	9.1934987
isola	commerciale	panchina	45.4820548	9.1932191
isola	commerciale	panchina	45.482829	9.1941769
isola	commerciale	panchina	45.4828532	9.1941276
isola	commerciale	panchina	45.4828887	9.1940555
isola	commerciale	ristorante	45.4817477	9.1945464
isola	commerciale	panchina	45.4829057	9.1940209
isola	commerciale	acqua potabile	45.4827669	9.1941843
isola	commerciale	panchina	45.4828394	9.1941557
isola	commerciale	panchina	45.4828772	9.1940789
isola	commerciale	distributore automatico	45.4802016	9.1896361
isola	commerciale	distributore automatico	45.4803321	9.1882543
isola	commerciale	ristorante	45.4802283	9.1933363
isola	commerciale	ristorante	45.4804457	9.192291
isola	commerciale	ristorante	45.4805584	9.1914793
isola	commerciale	panchina	45.4799558	9.1921767
isola	commerciale	telefono pubblico	45.4797828	9.1928182
isola	commerciale	panchina	45.4798234	9.1930369
isola	commerciale	panchina	45.479864	9.193041
isola	commerciale	panchina	45.4799645	9.1930658
isola	commerciale	panchina	45.4800003	9.1921932
isola	commerciale	panchina	45.4800128	9.1930782
isola	commerciale	panchina	45.4801172	9.1922277
isola	commerciale	panchina	45.4801675	9.1922456
isola	commerciale	distributore automatico	45.4802825	9.1920713
isola	commerciale	panchina	45.4844574	9.1925893
isola	commerciale	panchina	45.4845173	9.1926677
isola	commerciale	panchina	45.4845373	9.1927942
isola	commerciale	panchina	45.4843362	9.1926481
isola	commerciale	panchina	45.4843387	9.192812
isola	commerciale	panchina	45.4844336	9.1929065
isola	commerciale	banca	45.4797514	9.1944548
isola	commerciale	panchina	45.4808897	9.1961351
isola	commerciale	panchina	45.4809278	9.1960477
isola	commerciale	parcheggio	45.4806682	9.1954787
isola	commerciale	panchina	45.4815166	9.1942482
isola	commerciale	panchina	45.4820328	9.1934199
isola	commerciale	panchina	45.4820766	9.1934524
isola	commerciale	panchina	45.482093	9.1931727
isola	commerciale	panchina	45.4812911	9.1953063
